IATA Code,Airport,City,COUNTRY,CONTINENT
EDL,Eldoret International Airport,Eldoret,Kenya,AFRICA
MBA,Moi International Airport,Mombasa,Kenya,AFRICA
KIS,Kisumu International Airport,Kisumu,Kenya,AFRICA
NBO,Jomo Kenyatta International Airport,Nairobi,Kenya,AFRICA
TNR,Ivato International Airport,Antananarivo,Madagascar,AFRICA
DIE,Arrachart Airport,Antsiranana,Madagascar,AFRICA
MJN,Amborovy Airport,Mahajanga,Madagascar,AFRICA
NOS,Fascene Airport,Nosy Be,Madagascar,AFRICA
TMM,Toamasina Airport,Toamasina,Madagascar,AFRICA
FTU,Tôlanaro Airport,Tôlanaro,Madagascar,AFRICA
TLE,Toliara Airport,Toliara,Madagascar,AFRICA
BLZ,Chileka International Airport,Blantyre,Malawi,AFRICA
LLW,Lilongwe International Airport,Lilongwe,Malawi,AFRICA
MRU,Sir Seewoosagur Ramgoolam International Airport,Plaine Magnien,Mauritius,AFRICA
DZA,Dzaoudzi–Pamandzi International Airport,Dzaoudzi,Mayotte,AFRICA
MPM,Maputo International Airport,Maputo,Mozambique,AFRICA
BEW,Beira Airport,Beira,Mozambique,AFRICA
INH,Inhambane Airport,Inhambane,Mozambique,AFRICA
APL,Nampula Airport,Nampula,Mozambique,AFRICA
POL,Pemba Airport,Pemba,Mozambique,AFRICA
TET,Chingozi Airport,Tete,Mozambique,AFRICA
VNX,Vilankulo Airport,Vilankulo,Mozambique,AFRICA
RUN,Roland Garros Airport,Saint-Denis,Réunion,AFRICA
KGL,Kigali International Airport,Kigali,Rwanda,AFRICA
SEZ,Seychelles International Airport,Victoria,Seychelles,AFRICA
BSA,Bosaso Airport,Bosaso,Somalia,AFRICA
GBY,Abdullahi Yusuf Airport,Galkayo,Somalia,AFRICA
GGR,Garowe Airport,Garoowe,Somalia,AFRICA
HGA,Hargeisa Airport,Hargeisa,Somalia,AFRICA
KMU,Kismayo Airport,Kismayo,Somalia,AFRICA
MGQ,Aden Adde International Airport,Mogadishu,Somalia,AFRICA
JUB,Juba International Airport,Juba,South Sudan,AFRICA
ARK,Arusha Airport,Arusha,Tanzania,AFRICA
DAR,Julius Nyerere International Airport,Dar es Salaam,Tanzania,AFRICA
JRO,Kilimanjaro International Airport,Hai District,Tanzania,AFRICA
MWZ,Mwanza Airport,Mwanza,Tanzania,AFRICA
ZNZ,Abeid Amani Karume International Airport,"Unguja, Zanzibar",Tanzania,AFRICA
RUA,Arua Airport,Arua,Uganda,AFRICA
EBB,Entebbe International Airport,Entebbe,Uganda,AFRICA
ULU,Gulu Airport,Gulu,Uganda,AFRICA
LVI,Harry Mwanga Nkumbula International Airport,Livingstone,Zambia,AFRICA
LUN,Kenneth Kaunda International Airport,Lusaka,Zambia,AFRICA
NLA,Simon Mwansa Kapwepwe International Airport,Ndola,Zambia,AFRICA
HRE,Robert Gabriel Mugabe International Airport,Harare,Zimbabwe,AFRICA
VFA,Victoria Falls Airport,Victoria Falls,Zimbabwe,AFRICA
BUQ,Joshua Mqabuko Nkomo International Airport,Bulawayo,Zimbabwe,AFRICA
AXA,Clayton J. Lloyd International Airport,The Valley,Anguilla,AMERICAS - CARIBBEAN
ANU,V. C. Bird International Airport,Antigua,Antigua and Barbuda,AMERICAS - CARIBBEAN
AUA,Queen Beatrix International Airport,Oranjestad,Aruba,AMERICAS - CARIBBEAN
NAS,Lynden Pindling International Airport,Nassau,Bahamas,AMERICAS - CARIBBEAN
CCZ,Chub Cay International Airport,Chub Cay,Bahamas,AMERICAS - CARIBBEAN
GGT,Exuma International Airport,Exuma,Bahamas,AMERICAS - CARIBBEAN
FPO,Grand Bahama International Airport,Freeport,Bahamas,AMERICAS - CARIBBEAN
RSD,Rock Sound International Airport,South Eleuthera,Bahamas,AMERICAS - CARIBBEAN
MHH[1],Marsh Harbour International Airport,Marsh Harbour,Bahamas,AMERICAS - CARIBBEAN
